lat,lon,hae,droneLatitude,droneLongitude,droneElevationHAE,cameraRollAngleDeg,cameraSlantAngleDeg,raySlantAngleDeg,make,model,isCameraModelRecognized,lensType,k1,k2,k3,p1,p2,focalLength,digitalZoomRatio,imageWidth,imageLength,f_x,f_y,azimuthOffsetUserCorrection,imageSelectedProportionX,imageSelectedProportionY,yawOffsetDegSelectedPoint,pitchOffsetDegSelectedPoint,slantRange
31.603425039729135,-110.43377683592028,1464.8082865461072,31.603706,-110.433408,1523.348248,-0.094598,66.802149,51.30938619131811,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.990772,0.078976,22.292555,15.492763,75.026972
31.603544472598397,-110.4335511643082,1464.5083687882295,31.603706,-110.433408,1523.348248,-0.094598,66.802149,69.06178692188188,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.735286,0.558979,11.149803,-2.259638,63.007405
31.603550876891052,-110.43359292477258,1464.8570541786553,31.603819,-110.433338,1523.397498,-0.05751,66.716269,56.75061607938039,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.700922,0.234662,9.555844,9.965653,70.019367
31.603563673274145,-110.43349885208175,1464.660933518797,31.603819,-110.433338,1523.397498,-0.05751,66.716269,61.24266092368685,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.474236,0.35608,-1.227658,5.473608,67.014273
31.60371142108586,-110.43347459357263,1462.9136634825918,31.603819,-110.433338,1523.397498,-0.05751,66.716269,73.75225394980109,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.884315,0.685733,17.795944,-7.035985,63.00454
31.603428130023477,-110.43369251758597,1464.3991022124826,31.603764,-110.433374,1523.299487,-0.189924,66.756737,50.80549110919567,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.751251,0.0662,11.892966,15.951246,76.027934
31.603548608842388,-110.43356927378387,1464.6515868401568,31.603764,-110.433374,1523.299487,-0.189924,66.756737,62.69841463846308,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.723954,0.391942,10.638809,4.058322,66.01278
31.603563597092474,-110.43349070353052,1464.3356250133409,31.603764,-110.433374,1523.299487,-0.189924,66.756737,67.1184022836553,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.486349,0.509541,-0.654127,-0.361665,64.008906
31.603685975686638,-110.43344156496013,1463.260467972385,31.603764,-110.433374,1523.299487,-0.189924,66.756737,79.81638426153911,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.698251,0.849031,9.374994,-13.059647,61.001755
31.60370643790701,-110.43344334101808,1462.99331212241,31.603764,-110.433374,1523.299487,-0.189924,66.756737,81.3501144748376,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.906592,0.891764,18.699965,-14.593377,61.00127
31.60359513033259,-110.43353791918051,1464.7308326221557,31.60392,-110.433225,1523.381819,-0.050753,66.634952,51.4452686744864,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.302221,0.089633,-9.359025,15.189683,75.026813
31.60373227353265,-110.43359127407143,1463.8536541439178,31.60392,-110.433225,1523.381819,-0.050753,66.634952,55.7693795677902,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.715763,0.209989,10.238168,10.865572,72.02097
31.60370596910461,-110.43353538152667,1463.304204445402,31.60392,-110.433225,1523.381819,-0.050753,66.634952,57.79681911916981,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.547228,0.265664,2.281394,8.838133,71.018561
31.60381662728253,-110.43330655154125,1463.975932426185,31.60392,-110.433225,1523.381819,-0.050753,66.634952,76.87247931540767,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.183511,0.772919,-14.825807,-10.237527,61.002897
31.603838564987804,-110.43328550080545,1464.3472999472895,31.60392,-110.433225,1523.381819,-0.050753,66.634952,79.70756779475677,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.147784,0.85133,-16.39961,-13.072616,60.001763
31.60355870961903,-110.43364076724532,1464.7380632290733,31.603873,-110.433289,1523.413628,0.003119,66.698855,50.53805693986824,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.592639,0.061765,4.428215,16.160798,76.028254
31.60357653552379,-110.43352460414268,1464.6340226321008,31.603873,-110.433289,1523.413628,0.003119,66.698855,55.881755412964736,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.393342,0.211758,-5.108581,10.8171,71.020559
31.60371749052435,-110.4335377112134,1463.1271797385007,31.603873,-110.433289,1523.413628,0.003119,66.698855,64.13149367396895,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.809457,0.432315,14.515384,2.567361,67.011741
31.60369508152649,-110.43349904914332,1463.6791548886613,31.603873,-110.433289,1523.413628,0.003119,66.698855,64.83241321351177,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.624257,0.451043,5.956427,1.866442,66.010987
31.60380361115402,-110.43332639006218,1464.0177833318603,31.603873,-110.433289,1523.413628,0.003119,66.698855,81.86230683890028,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.189054,0.909571,-14.548802,-15.163452,60.001107
31.603824160383287,-110.43331295016363,1463.7032244576358,31.603873,-110.433289,1523.413628,0.003119,66.698855,84.36838097959149,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.144195,0.981742,-16.532595,-17.669526,60.000532
31.603774387436648,-110.43356003024817,1463.5768834945954,31.603951,-110.433089,1523.170039,-0.014883,66.501998,50.708763641583104,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.234356,0.071856,-12.482059,15.793234,77.028421
31.603808532372668,-110.43356325882402,1463.9604490958093,31.603951,-110.433089,1523.170039,-0.014883,66.501998,51.175828231130915,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.328486,0.085673,-8.149284,15.32617,76.027493
31.60387286785999,-110.43324692585219,1463.633738125324,31.603951,-110.433089,1523.170039,-0.014883,66.501998,73.79368099101154,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.090526,0.693354,-18.872902,-7.291683,62.004446
